alg,thread_num,iter_type,prefill,query_num,insert,query,delete
wormhole,1,seq,15000,6000,0.000531262,0.000236748,0.000543849
PGM,1,seq,16000,6000,1.18608,0.000950739,1.35787
wormhole,1,seq,16000,6000,0.000520328,0.000237819,0.000543718
PGM,1,seq,17000,6000,1.32752,0.000797655,1.37625
wormhole,1,seq,17000,6000,0.00051881,0.000232648,0.000554018
PGM,1,seq,18000,6000,1.3083,0.000820748,1.36937
wormhole,1,seq,18000,6000,0.000516038,0.00022376,0.000527979
PGM,1,seq,19000,6000,1.21625,0.000712169,1.30735
wormhole,1,seq,19000,6000,0.000498761,0.000224991,0.000528095
PGM,1,rand,1000,6000,0.108806,0.00112151,0.254175
wormhole,1,rand,1000,6000,0.000435038,0.00117923,0.000185886
